因子代码,曾用名,开始时间,结束时间,研发状态,因子说明,数据类型,指数及指数列名,分钟指数及指数列名,选股指数,衍生因子,更新方式,是否盘口因子,因子平滑方式,备注,因子数据分布特征,1日rankIC,5日rankIC,20日rankIC,,,,
hf_wjt_034[5-10],hf_wjt_034[5-10],2020-09-28,2020-09-28,备用,股票相对价格位置,code_min,None,None,None,否,增量,否,None,,,,0.059560396,0.066757579,,,,
hf_pang_001[20],hf_pang_001[20],2019-10-15,2019-10-15,入库,日内beta值,code_min,None,"{'000001.XSHG':['close'],'399106.XSHE':['close']}",None,否,增量,否,None,由于中证全指数据只从2011年开始，为了防止数据量偏少，计算时采用上证+深证指数的收盘作为新指数的收盘来计算指数收益,,,-0.024157849,-0.04538903,,,,
hf_pang_002[20],hf_pang_002[20],2019-10-26,,测试,日内单边上涨占比,code_min,None,None,None,否,增量,否,None,N日均值（60日表现尚可）,,,,,,,,
hf_pang_003[20],hf_pang_003[20],2019-10-26,,测试,日内上涨数/日内下跌数,code_min,None,None,None,否,增量,否,None,N日均值（60日表现尚可）,,,,,,,,
hf_pang_004[20],hf_pang_004[20],2019-10-26,,测试,尾盘半小时夏普比率,code_min,None,None,None,否,增量,否,None,N日均值（短期表现尚可）,,,,,,,,
hf_pang_005[20],hf_pang_005[20],2019-10-28,,舍弃,尾盘一小时夏普比率,code_min,None,None,None,否,增量,否,None,N日均值,,,,,,,,
hf_pang_006[20],hf_pang_006[20],2019-10-29,,测试,开盘半小时夏普比率,code_min,None,None,None,否,增量,否,None,N日均值（越大越好）,,,,,,,,
hf_pang_007[20],hf_pang_007[20],2019-10-29,,舍弃,每日每分钟收盘价大于均价的比例,code_min,None,None,None,否,增量,否,None,N日均值,,,,,,,,
hf_pang_008[20],hf_pang_008[20],2019-10-29,,舍弃,上涨成交量比下跌成交量,code_min,None,None,None,否,增量,否,None,N日均值,,,,,,,,
hf_pang_009[20],hf_pang_009[20],2019-10-29,,测试,日内收益回撤比,code_min,None,None,None,否,增量,否,None,N日均值（反转因子，与N日动量相关度较高，相关系数，0.667，但是相比于N日动量，效果有改善）,,,,,,,,
hf_pang_010[20],hf_pang_010[20],2019-10-31,,测试,日内均价算数平均/成交量加权平均,code_min,None,None,None,否,增量,否,None,N日均值（效果不如不加日内信息的情况）,,,,,,,,
hf_pang_011[20],hf_pang_011[20],2019-10-31,,测试,日内分钟最高价与日内分钟最低价的beta值（RSRS）,code_min,None,None,None,否,增量,否,None,N日均值（有一定的非单调分层效果，rank_IC有一定的显著性，值越小越好）可能的问题：频率过高（可采用5分钟k线解决或采用连续多日分钟）,,,,,,,,
hf_pang_012[20],hf_pang_012[20],2019-10-31,2019-10-31,修正,N日内温和收益（参考东方证券研报）,code_min,None,None,None,否,增量,否,None,表现为动量效应，分层明显,,,0.031565018,0.054894357,,,,
hf_pang_013[20],hf_pang_013[20],2019-10-31,2019-10-31,修正,N日内极端收益（参考东方证券研报）,code_min,None,None,None,否,增量,否,None,表现为反转效应，分层明显，与日内收益回撤比相关度高，但是与N日动量相关度不高,,,-0.068065438,-0.094153564,,,,
hf_pang_014[20],hf_pang_014[20],2019-11-01,,测试,N日内温和收益-N日内极端收益,date_day,None,None,None,是,增量,否,None,由于极端动量因子分层效果不明显，所以线性叠加之后导致效果不如单个因子,,,,,,,,
hf_pang_015[20],hf_pang_015[20],2019-11-01,,测试,N日动量，其中日内动量依据分钟成交量加权,code_min,None,None,None,否,增量,否,None,与N日动量相关度高（相关系数0.8）,,,,,,,,
hf_pang_016[20-120],hf_pang_016[20-120],2019-11-01,,测试,分歧转一致（日内出现涨停到开盘再到涨停的现象）,code_min,None,None,None,否,增量,否,None,,,,,,,,,
hf_pang_017[20],hf_pang_017[20],2020-05-28,,测试,沪深300内个股分钟内相对指数的平均收益率,code_min,None,None,000300。XSHG,否,增量,否,None,衡量相对强弱,,,,,,,,
hf_pang_018[20],hf_pang_018[20],2020-05-28,,测试,沪深300内个股分钟内相对指数收益率为正数量占比,code_min,None,None,000301。XSHG,否,增量,否,None,衡量相对强弱,,,,,,,,
hf_pang_019[1],hf_pang_019[1],2021-03-08,2021-03-08,入库,个股日内分钟收益率的标准差,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征（太大或者太小均不好）,大于等于0,-0.037204976,-0.053142151,-0.062031604,,,,
hf_pang_019[5],hf_pang_019[5],2020-08-05,2020-08-05,入库,个股日内分钟收益率的标准差,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征（太大或者太小均不好）,大于等于0,,-0.056798049,-0.070059984,,,,
hf_pang_019[20],hf_pang_019[20],2020-08-05,,测试,个股日内分钟收益率的标准差,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征,,,-0.05,-0.065,,,,
hf_pang_020[5],hf_pang_020[5],2020-08-05,,测试,个股日内分钟正负收益率标准差的差值,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征,,,-0.032,-0.047,,,,
hf_pang_020[20],hf_pang_020[20],2020-08-05,,测试,个股日内分钟正负收益率标准差的差值,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征,,,-0.032,-0.047,,,,
hf_pang_021[1],hf_pang_021[1],2021-03-08,2021-03-08,入库,个股日内分钟收益率的偏度,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征,,-0.018502013,-0.0182948,-0.01760591,,,,
hf_pang_021[5],hf_pang_021[5],2020-08-06,,测试,个股日内分钟收益率的偏度,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征,,,-0.03,-0.033,,,,
hf_pang_021[20],hf_pang_021[20],2020-08-06,,测试,个股日内分钟收益率的偏度,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征,,,-0.041,-0.054,,,,
hf_pang_022[1],hf_pang_022[1],2021-03-08,2021-03-08,入库,个股日内分钟收益率的峰度,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征,绝大部分大于-2,-0.019976693,-0.031057144,-0.039036452,,,,
hf_pang_022[5],hf_pang_022[5],2020-08-06,2020-08-07,入库,个股日内分钟收益率的峰度,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征,绝大部分大于-2,,-0.044775148,-0.05803697,,,,
hf_pang_022[20],hf_pang_022[20],2020-08-06,2020-08-07,入库,个股日内分钟收益率的峰度,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征,绝大部分大于-2,,-0.047085841,-0.064208921,,,,
hf_pang_023[1],hf_pang_023[1],2021-03-08,2021-03-08,入库,个股日内分钟收益率的下行波动率占比,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征,大于等于0,0.025019936,0.027536492,0.027316431,,,,
hf_pang_023[5],hf_pang_023[5],2020-08-07,2020-08-07,入库,个股日内分钟收益率的下行波动率占比,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征,大于等于0,,0.046558812,0.057625202,,,,
hf_pang_023[20],hf_pang_023[20],2020-08-07,2020-08-07,入库,个股日内分钟收益率的下行波动率占比,code_min,None,None,None,否,增量,否,None,刻画日内收益率的统计特征,大于等于0,,0.057624788,0.082807479,,,,
hf_pang_024[5],hf_pang_024[5],2020-08-07,2020-08-07,入库,个股日内量价相关性,code_min,None,None,None,否,增量,否,None,刻画分钟级别背离,在-1到1之间,,-0.051093389,-0.047770409,,,,
hf_pang_024[20],hf_pang_024[20],2020-08-07,2020-08-07,入库,个股日内量价相关性,code_min,None,None,None,否,增量,否,None,刻画分钟级别背离,在-1到1之间,,-0.048267606,-0.053897174,,,,
hf_pang_025[5],hf_pang_025[5],2020-08-07,2020-08-07,入库,剔除隔夜与开盘半小时收益率的动量因子,code_min,None,None,None,否,增量,否,None,刻画反转,绝大部分在-0.2到0.2之间,,-0.052431973,-0.05004072,,,,
hf_pang_025[20],hf_pang_025[20],2020-08-07,2020-08-07,入库,剔除隔夜与开盘半小时收益率的动量因子,code_min,None,None,None,否,增量,否,None,刻画反转,绝大部分在-0.2到0.2之间,,-0.061966073,-0.070212085,,,,
hf_pang_026[5],hf_pang_026[5],2020-08-07,,测试,每日成交量排名前30%的分钟累计收益率,code_min,None,None,None,否,增量,否,None,刻画大单驱动的动量,,,-0.032,-0.022,,,,
