ÈÕÆÚ,¹ÉÆ±
20220208,"	002572"
20220208,"	002821"
20220208,"	002920"
20220208,"	300166"
20220208,"	600026"
20220208,"	600157"
20220208,"	600390"
20220208,"	600466"
20220208,"	600546"
20220208,"	600917"
20220208,"	601456"
20220208,"	603259"
20220208,"	603290"
20220208,"	605117"
20220209,"	000156"
20220209,"	000630"
20220209,"	000671"
20220209,"	000997"
20220209,"	000999"
20220209,"	001227"
20220209,"	001289"
20220209,"	002065"
20220209,"	002124"
20220209,"	002152"
20220209,"	002396"
20220209,"	002409"
20220209,"	002603"
20220209,"	600037"
20220209,"	600446"
20220209,"	600566"
20220209,"	600863"
20220209,"	600941"
20220209,"	600959"
20220209,"	601100"
20220209,"	603589"
20220209,"	603638"
20220210,"	000937"
20220210,"	002153"
20220210,"	002157"
20220210,"	002459"
20220210,"	002506"
20220210,"	601168"
20220210,"	601333"
20220210,"	601868"
20220210,"	688006"
20220210,"	688188"
20220211,"	000400"
20220211,"	000656"
20220211,"	000937"
20220211,"	000999"
20220211,"	001227"
20220211,"	002048"
20220211,"	002092"
20220211,"	600095"
20220211,"	600188"
20220211,"	600466"
20220211,"	600521"
20220211,"	603392"
20220214,"	000776"
20220214,"	001227"
20220214,"	002385"
20220214,"	300363"
20220214,"	600332"
20220214,"	600903"
20220214,"	600908"
20220214,"	600941"
20220214,"	600959"
20220214,"	601058"
20220214,"	601128"
20220214,"	601162"
20220214,"	601225"
20220214,"	601229"
20220214,"	601238"
20220214,"	601568"
20220214,"	601598"
20220214,"	601628"
20220214,"	601636"
20220214,"	601665"
20220214,"	601669"
20220214,"	601696"
20220214,"	601799"
20220214,"	601800"
20220214,"	601865"
20220214,"	601868"
20220214,"	601878"
20220214,"	601966"
20220214,"	601969"
20220214,"	601975"
20220214,"	601992"
20220214,"	603019"
20220214,"	603087"
20220214,"	603195"
20220214,"	603198"
20220214,"	603218"
20220214,"	603267"
20220214,"	603568"
20220214,"	603658"
20220214,"	603659"
20220214,"	603719"
20220214,"	603786"
20220214,"	603866"
20220214,"	603868"
20220214,"	603885"
20220214,"	603893"
20220214,"	603927"
20220214,"	603983"
20220214,"	603986"
20220214,"	603993"
20220214,"	605499"
20220214,"	688009"
20220214,"	688088"
20220214,"	688126"
20220214,"	688169"
20220214,"	688180"
20220214,"	688185"
20220214,"	688188"
20220214,"	688256"
20220214,"	688363"
20220214,"	688599"
20220214,"	688777"
20220215,"	000519"
20220215,"	002603"
20220215,"	002821"
20220215,"	600522"
20220215,"	600667"
20220215,"	603127"
20220215,"	603259"
20220215,"	603392"
20220215,"	688188"
20220215,"	688536"
20220216,"	000831"
20220216,"	600126"
20220216,"	603338"
20220216,"	605499"
20220216,"	688208"
20220217,"	002155"
20220217,"	002466"
20220217,"	002756"
20220217,"	600096"
20220217,"	600120"
20220217,"	688536"
20220218,"	000629"
20220218,"	000656"
20220218,"	000983"
20220218,"	002075"
20220218,"	002244"
20220218,"	300869"
20220218,"	600446"
20220218,"	600521"
20220218,"	603077"
20220218,"	688065"
20220221,"	000158"
20220221,"	000937"
20220221,"	000977"
20220221,"	000983"
20220221,"	002075"
20220221,"	002497"
20220221,"	002607"
20220221,"	002821"
20220221,"	600380"
20220221,"	601699"
20220221,"	603000"
20220221,"	603638"
20220222,"	002268"
20220222,"	002497"
20220222,"	002555"
20220222,"	002945"
20220222,"	600021"
20220222,"	600126"
20220222,"	601868"
20220222,"	688065"
20220223,"	000156"
20220223,"	000987"
20220223,"	002326"
20220223,"	002371"
20220223,"	002497"
20220223,"	002791"
20220223,"	600026"
20220223,"	600037"
20220223,"	600096"
20220223,"	600418"
20220223,"	600959"
20220223,"	603185"
20220223,"	603218"
20220223,"	603260"
20220223,"	603650"
20220223,"	688188"
20220224,"	000975"
20220224,"	000997"
20220224,"	002152"
20220224,"	002155"
20220224,"	002195"
20220224,"	002444"
20220224,"	002505"
20220224,"	002791"
20220224,"	600141"
20220224,"	600339"
20220224,"	600446"
20220224,"	600489"
20220224,"	600871"
20220224,"	600988"
20220224,"	601669"
20220224,"	601808"
20220225,"	000959"
20220225,"	001289"
20220225,"	002507"
20220225,"	002821"
20220225,"	300482"
20220225,"	600010"
20220225,"	600011"
20220225,"	600027"
20220225,"	600763"
20220225,"	600926"
20220225,"	601198"
20220225,"	601860"
20220225,"	601991"
20220225,"	601997"
20220225,"	603056"
20220225,"	603127"
20220225,"	603260"
20220225,"	603456"
20220225,"	603486"
20220225,"	603786"
20220225,"	603882"
20220225,"	688012"
20220225,"	688065"
20220225,"	688099"
20220225,"	688208"
20220225,"	688289"
20220225,"	688321"
20220225,"	688536"
20220225,"	688819"
20220225,"	689009"
20220228,"	000540"
20220228,"	002423"
20220228,"	600039"
20220228,"	600339"
20220228,"	600728"
20220228,"	600811"
20220228,"	600903"
20220228,"	601138"
20220228,"	601168"
20220228,"	601568"
20220228,"	601868"
20220228,"	601878"
20220228,"	601880"
20220228,"	601995"
20220228,"	603087"
20220228,"	603195"
20220228,"	603233"
20220228,"	603290"
20220228,"	603927"
20220228,"	688065"
20220228,"	688185"
20220228,"	688599"
20220301,"	000540"
20220301,"	000729"
20220301,"	000876"
20220301,"	002429"
20220301,"	600522"
20220301,"	600600"
20220301,"	600968"
20220301,"	601600"
20220302,"	000807"
20220302,"	002493"
20220302,"	600056"
20220302,"	600346"
20220302,"	600639"
20220302,"	601600"
20220302,"	601880"
20220303,"	000630"
20220303,"	000887"
20220303,"	600056"
20220303,"	600143"
20220303,"	600256"
20220303,"	600299"
20220303,"	600415"
20220303,"	600808"
20220303,"	600811"
20220303,"	601598"
20220303,"	601880"
20220303,"	601969"
20220303,"	601975"
20220303,"	688065"
20220304,"	000547"
20220304,"	000887"
20220304,"	001289"
20220304,"	300496"
20220304,"	600056"
20220304,"	600521"
20220304,"	600546"
20220304,"	600639"
20220304,"	600811"
20220307,"	000063"
20220307,"	000983"
20220307,"	002056"
20220307,"	002180"
20220307,"	002493"
20220307,"	600029"
20220307,"	600056"
20220307,"	600115"
20220307,"	600582"
20220307,"	600657"
20220307,"	600808"
20220307,"	600988"
20220307,"	601058"
20220307,"	601111"
20220307,"	601138"
20220307,"	601155"
20220307,"	601360"
20220307,"	601598"
20220307,"	601618"
20220307,"	601880"
20220307,"	603786"
20220307,"	603885"
20220308,"	000630"
20220308,"	000807"
20220308,"	002004"
20220308,"	002044"
20220308,"	002221"
20220308,"	002414"
20220308,"	002466"
20220308,"	002532"
20220308,"	002603"
20220308,"	002607"
20220308,"	002945"
20220308,"	300630"
20220308,"	600056"
20220308,"	600219"
20220308,"	600765"
20220308,"	600863"
20220308,"	601106"
20220308,"	601598"
20220308,"	601600"
20220308,"	601618"
20220308,"	601969"
20220308,"	603799"
20220308,"	603893"
20220308,"	688188"
20220309,"	000046"
20220309,"	000060"
20220309,"	000415"
20220309,"	000656"
20220309,"	000671"
20220309,"	000703"
20220309,"	000718"
20220309,"	000768"
20220309,"	000825"
20220309,"	000960"
20220309,"	001227"
20220309,"	002044"
20220309,"	002050"
20220309,"	002131"
20220309,"	002195"
20220309,"	002203"
20220309,"	002250"
20220309,"	002266"
20220309,"	002326"
20220309,"	002390"
20220309,"	002429"
20220309,"	002493"
20220309,"	002505"
20220309,"	002532"
20220309,"	002603"
20220309,"	002607"
20220309,"	002670"
