20200708,"	603707"
20200708,"	603712"
20200708,"	603766"
20200708,"	603786"
20200708,"	603799"
20200708,"	603806"
20200708,"	603816"
20200708,"	603833"
20200708,"	603858"
20200708,"	603866"
20200708,"	603868"
20200708,"	603882"
20200708,"	603883"
20200708,"	603885"
20200708,"	603888"
20200708,"	603899"
20200708,"	603939"
20200708,"	603983"
20200708,"	603986"
20200708,"	603993"
20200709,"	000001"
20200709,"	000002"
20200709,"	000008"
20200709,"	000009"
20200709,"	000012"
20200709,"	000021"
20200709,"	000025"
20200709,"	000027"
20200709,"	000028"
20200709,"	000031"
20200709,"	000039"
20200709,"	000046"
20200709,"	000050"
20200709,"	000060"
20200709,"	000061"
20200709,"	000062"
20200709,"	000063"
20200709,"	000066"
20200709,"	000069"
20200709,"	000078"
20200709,"	000089"
20200709,"	000090"
20200709,"	000100"
20200709,"	000156"
20200709,"	000157"
20200709,"	000158"
20200709,"	000166"
20200709,"	000301"
20200709,"	000333"
20200709,"	000338"
20200709,"	000400"
20200709,"	000401"
20200709,"	000402"
20200709,"	000415"
20200709,"	000425"
20200709,"	000488"
20200709,"	000501"
20200709,"	000513"
20200709,"	000519"
20200709,"	000528"
20200709,"	000537"
20200709,"	000538"
20200709,"	000543"
20200709,"	000547"
20200709,"	000553"
20200709,"	000559"
20200709,"	000563"
20200709,"	000564"
20200709,"	000568"
20200709,"	000581"
20200709,"	000596"
20200709,"	000598"
20200709,"	000600"
20200709,"	000623"
20200709,"	000625"
20200709,"	000627"
20200709,"	000629"
20200709,"	000630"
20200709,"	000636"
20200709,"	000651"
20200709,"	000656"
20200709,"	000661"
20200709,"	000671"
20200709,"	000681"
20200709,"	000685"
20200709,"	000686"
20200709,"	000690"
20200709,"	000703"
20200709,"	000708"
20200709,"	000709"
20200709,"	000712"
20200709,"	000717"
20200709,"	000718"
20200709,"	000723"
20200709,"	000725"
20200709,"	000728"
20200709,"	000729"
20200709,"	000732"
20200709,"	000738"
20200709,"	000739"
20200709,"	000750"
20200709,"	000758"
20200709,"	000768"
20200709,"	000776"
20200709,"	000778"
20200709,"	000783"
20200709,"	000785"
20200709,"	000786"
20200709,"	000800"
20200709,"	000807"
20200709,"	000813"
20200709,"	000825"
20200709,"	000826"
20200709,"	000830"
20200709,"	000848"
20200709,"	000858"
20200709,"	000860"
20200709,"	000869"
20200709,"	000876"
20200709,"	000877"
20200709,"	000878"
20200709,"	000883"
20200709,"	000887"
20200709,"	000895"
20200709,"	000898"
20200709,"	000930"
20200709,"	000932"
20200709,"	000937"
20200709,"	000938"
20200709,"	000959"
20200709,"	000960"
20200709,"	000961"
20200709,"	000963"
20200709,"	000967"
20200709,"	000970"
20200709,"	000975"
20200709,"	000977"
20200709,"	000983"
20200709,"	000987"
20200709,"	000988"
20200709,"	000990"
20200709,"	000997"
20200709,"	000998"
20200709,"	000999"
20200709,"	001872"
20200709,"	001914"
20200709,"	001979"
20200709,"	002001"
20200709,"	002002"
20200709,"	002004"
20200709,"	002007"
20200709,"	002008"
20200709,"	002010"
20200709,"	002013"
20200709,"	002019"
20200709,"	002024"
20200709,"	002027"
20200709,"	002028"
20200709,"	002030"
20200709,"	002032"
20200709,"	002038"
20200709,"	002044"
20200709,"	002048"
20200709,"	002049"
20200709,"	002050"
20200709,"	002051"
20200709,"	002056"
20200709,"	002064"
20200709,"	002074"
20200709,"	002075"
20200709,"	002078"
20200709,"	002080"
20200709,"	002081"
20200709,"	002085"
20200709,"	002092"
20200709,"	002093"
20200709,"	002110"
20200709,"	002118"
20200709,"	002120"
20200709,"	002124"
20200709,"	002127"
20200709,"	002128"
20200709,"	002129"
20200709,"	002131"
20200709,"	002138"
20200709,"	002142"
20200709,"	002146"
20200709,"	002152"
20200709,"	002153"
20200709,"	002155"
20200709,"	002156"
20200709,"	002157"
20200709,"	002174"
20200709,"	002179"
20200709,"	002183"
20200709,"	002185"
20200709,"	002191"
20200709,"	002195"
20200709,"	002202"
20200709,"	002203"
20200709,"	002212"
20200709,"	002217"
20200709,"	002221"
20200709,"	002223"
20200709,"	002230"
20200709,"	002233"
20200709,"	002236"
20200709,"	002241"
20200709,"	002242"
20200709,"	002244"
20200709,"	002249"
20200709,"	002250"
20200709,"	002252"
20200709,"	002266"
20200709,"	002268"
20200709,"	002271"
20200709,"	002273"
20200709,"	002281"
20200709,"	002285"
20200709,"	002294"
20200709,"	002302"
20200709,"	002304"
20200709,"	002311"
20200709,"	002317"
20200709,"	002340"
20200709,"	002352"
20200709,"	002353"
20200709,"	002368"
20200709,"	002371"
20200709,"	002372"
20200709,"	002373"
20200709,"	002375"
20200709,"	002382"
20200709,"	002384"
20200709,"	002385"
20200709,"	002387"
20200709,"	002390"
20200709,"	002396"
20200709,"	002399"
20200709,"	002407"
20200709,"	002408"
20200709,"	002410"
20200709,"	002414"
20200709,"	002415"
20200709,"	002416"
20200709,"	002419"
20200709,"	002422"
20200709,"	002423"
20200709,"	002424"
20200709,"	002429"
20200709,"	002434"
20200709,"	002439"
20200709,"	002440"
20200709,"	002444"
20200709,"	002456"
20200709,"	002458"
20200709,"	002460"
20200709,"	002463"
20200709,"	002465"
20200709,"	002466"
20200709,"	002468"
20200709,"	002470"
20200709,"	002475"
20200709,"	002491"
20200709,"	002493"
20200709,"	002500"
20200709,"	002503"
20200709,"	002505"
20200709,"	002506"
20200709,"	002507"
20200709,"	002508"
20200709,"	002511"
20200709,"	002544"
20200709,"	002555"
20200709,"	002557"
20200709,"	002558"
20200709,"	002563"
20200709,"	002572"
20200709,"	002583"
20200709,"	002589"
20200709,"	002594"
20200709,"	002595"
20200709,"	002600"
20200709,"	002601"
20200709,"	002602"
20200709,"	002603"
20200709,"	002607"
20200709,"	002624"
20200709,"	002625"
20200709,"	002635"
20200709,"	002640"
20200709,"	002648"
20200709,"	002653"
20200709,"	002665"
20200709,"	002670"
20200709,"	002673"
20200709,"	002690"
20200709,"	002701"
20200709,"	002709"
20200709,"	002714"
20200709,"	002736"
20200709,"	002739"
20200709,"	002745"
20200709,"	002773"
20200709,"	002797"
20200709,"	002807"
20200709,"	002812"
20200709,"	002815"
20200709,"	002818"
20200709,"	002821"
20200709,"	002831"
20200709,"	002839"
20200709,"	002841"
20200709,"	002867"
20200709,"	002901"
20200709,"	002916"
20200709,"	002920"
20200709,"	002925"
20200709,"	002926"
20200709,"	002936"
20200709,"	002938"
20200709,"	002939"
20200709,"	002941"
20200709,"	002945"
20200709,"	002946"
20200709,"	002948"
20200709,"	002957"
20200709,"	002958"
20200709,"	003816"
20200709,"	300001"
20200709,"	300002"
20200709,"	300003"
20200709,"	300009"
20200709,"	300010"
20200709,"	300012"
20200709,"	300014"
20200709,"	300015"
20200709,"	300017"
20200709,"	300024"
20200709,"	300026"
20200709,"	300033"
20200709,"	300058"
20200709,"	300059"
20200709,"	300070"
20200709,"	300072"
20200709,"	300088"
20200709,"	300113"
20200709,"	300115"
20200709,"	300122"
20200709,"	300124"
20200709,"	300133"
20200709,"	300134"
20200709,"	300136"
20200709,"	300142"
20200709,"	300144"
20200709,"	300166"
20200709,"	300168"
20200709,"	300180"
20200709,"	300182"
20200709,"	300197"
20200709,"	300207"
20200709,"	300212"
20200709,"	300244"
20200709,"	300251"
20200709,"	300253"
20200709,"	300257"
20200709,"	300271"
20200709,"	300274"
20200709,"	300285"
20200709,"	300296"
20200709,"	300315"
20200709,"	300316"
20200709,"	300324"
20200709,"	300347"
20200709,"	300357"
20200709,"	300376"
20200709,"	300408"
20200709,"	300413"
20200709,"	300418"
20200709,"	300433"
20200709,"	300459"
20200709,"	300474"
20200709,"	300482"
20200709,"	300496"
